排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
21,B071HPBSHV,亚马逊基础系列公狗尿布，30片装，小号，超强吸收一次性尿布，安全贴合，防漏且舒适,Amazon Basics,4.5,32169,364.9,25776,评论数推算(评论率1.2%),2017-10-23,104,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
22,B09R916GQ3,WeTap Purina Beneful 成犬原味牛肉粮 10公斤,WeTap,4.8,2618,622.5,4116,评论数推算(评论率1.2%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
23,B07PY5FGR1,Cloralex宠物除臭剂 3.75升,Cloralex,4.8,2449,85.0,8503,"评论数推算(评论率1.2%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
24,B076VYPJJT,Amazon Basics - 宠物狗粪便袋带分配器，540个装，升级防漏，薰衣草香味，含牵引绳夹,Amazon Basics,4.9,65559,274.9,321368,评论数推算(评论率1.2%),2025-01-11,17,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VYPJJT,True
25,B0153V43UI,Nupec成年犬狗粮，含Omega 3和6，5公斤装,Nupec,4.8,3992,659.0,2559,评论数推算(评论率1.2%),2015-09-01,130,3,Tienda Mascota MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0153V43UI,True
26,B003CL6Q84,希尔思科学膳食成年小型犬鸡肉味狗粮7kg，支持长期健康、皮肤和毛发,Hill's Science Diet,4.8,25138,1248.0,13515,评论数推算(评论率1.2%),2013-07-08,155,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
27,B00MW8G3YU,Amazon Basics 宠物尿垫，5层防漏快干，训练适用，标准尺寸55.9x55.9厘米，50片装，蓝白,Amazon Basics,4.5,216863,429.9,1063054,评论数推算(评论率1.2%),2025-01-11,17,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00MW8G3YU,True
28,B01N30FZTO,普瑞纳冠能中大型犬幼犬粮，牛肉、鸡肉和水果味，7.5公斤,Dog Chow,4.8,2223,439.0,2179,评论数推算(评论率1.2%),2019-05-25,85,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
29,B0118VV13O,希尔思天然软嚼训练零食，犬用奖励，90克,Hill's,4.7,3882,88.0,2696,评论数推算(评论率1.2%),2016-06-24,120,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
30,B01FUDI7OC,Nupec狗粮，体重控制配方，适用于超重或肥胖犬，15公斤装。,Nupec,4.8,3927,2199.0,2705,评论数推算(评论率1.2%),2016-05-18,121,3,Selectashop,第三方(墨西哥),墨西哥,FBM,https://www.amazon.com.mx/dp/B01FUDI7OC,True
31,B08TH7LVQK,狗床，耐用，舒适，柔软填充，尺寸和颜色可选（小号，黑色/灰色）,PETS APPAREL HILLS,4.6,10330,299.0,13244,评论数推算(评论率1.2%),2021-01-20,65,49,I Jacket,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,True
32,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5167,1959.0,3559,评论数推算(评论率1.2%),2016-05-18,121,3,Amikoo Peek,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
33,B0153V3ZEI,Nupec狗粮，幼犬成犬通用，含维生素E和硒，5千克装。,Nupec,4.8,9474,723.0,6073,评论数推算(评论率1.2%),2015-09-01,130,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3ZEI,True
34,B01FVRF920,Barkys 80136100614 肉干条 1千克 1件 小号,BARKYS,4.8,1543,259.0,1063,评论数推算(评论率1.2%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
35,B0DHTXCNJ3,春日绽放 - 专业2合1猫狗美容梳，轻松去除毛毡和缠结的安全宠物刷（柠檬黄）,Spring Blossoms,4.7,4176,297.99,16571,评论数推算(评论率1.2%),2024-09-24,21,5,GoodHappens,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DHTXCNJ3,True
36,B07GV57JYJ,PetLovers 450张粘毛滚筒补充装 - 超粘粘毛滚筒，宠物除毛粘毛器 - 5卷装,PetLovers,4.7,36391,379.0,126358,"评论数推算(评论率1.2%, 按默认24个月在售)",,,6,PetLovers MX,品牌方(美国),美国,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,True
37,B0GTX2FQ24,墨西哥FIFA官方设计狗狗T恤 XS码,FIFA,3.3,13,179.0,361,评论数推算(评论率1.2%),2026-03-25,3,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GTX2FQ24,True
38,B0088LIINY,Earth Rated 薰衣草味狗粪袋，8卷120个,Earth Rated,4.9,199401,165.0,692365,"评论数推算(评论率1.2%, 按默认24个月在售)",,,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,True
39,B07TGKCWWP,Dry Pet 狗狗尿布小号 12片,Fancy Pets,4.5,1454,131.53,1442,评论数推算(评论率1.2%),2019-06-25,84,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
40,B0BQX4HLCS,Raganet，中小型宠物便携围栏，58厘米高×78厘米长宠物屋，牛津布防水，室内外通用，安全耐用（灰色）,Raganet,4.6,1027,219.0,2038,评论数推算(评论率1.2%),2022-12-23,42,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
41,B09232RF2N,Perfect Sense 老年犬粮 3kg,Perfect Sense,4.7,703,389.0,723,评论数推算(评论率1.2%),2019-09-17,81,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,True
42,B09Z6QHGTG,带LED灯的狗猫指甲剪：照亮指甲或血线确保安全修剪。超锋利刀片适合厚指甲，快速感应防止过度修剪。适用于狗和猫。,Elvess,4.7,1648,195.65,2747,评论数推算(评论率1.2%),2022-04-29,50,1,elvess,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,True
43,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪，无防腐剂和人工香精狗零食，幼犬成犬老年犬适用，10只装。,Dogelthy,4.5,275,239.0,1042,评论数推算(评论率1.2%),2024-08-23,22,4,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
44,B0F96F3XWF,"King Dog & Cat 狗狗训练垫 Clean Pet, 40片, 60×60厘米, 6层超强吸水卫生垫",King Dog & Cat,4.6,7,275.0,24,"评论数推算(评论率1.2%, 按默认24个月在售)",,,1,Zeitex,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
45,B01M8G9HYE,Nupec PENU7138 - AAAAAA狗狗放松零食，180克（包装可能不同）,Nupec,4.6,5388,113.0,3871,评论数推算(评论率1.2%),2016-11-02,116,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
46,B018TYLZU2,Fancy Pets 狗狗训练垫 Doggie Grass GDE | 合成草皮含托盘和格栅 | 控味易清洁,Fancy Pets,4.4,10015,448.8,6572,评论数推算(评论率1.2%),2015-12-02,127,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018TYLZU2,True
47,B07PSK15Y2,Nupec 小型犬老年犬干粮 8公斤,Nupec,4.8,4237,1504.55,4058,评论数推算(评论率1.2%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,True
48,B0BBSG79MX,宝路 - 高蛋白成年狗粮，牛肉鸡肉口味，24包，每包85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1117,228.0,2024,评论数推算(评论率1.2%),2022-08-24,46,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
49,B075N8M4BQ,Cesar - 狗粮包，菲力牛排肉汁味，24包，每包75克,Cesar,4.7,780,236.0,619,评论数推算(评论率1.2%),2017-09-11,105,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
50,B08B1W7YSB,MS Isabelino项圈 1号（22厘米）,Fancy Pets,4.4,3020,74.82,3495,评论数推算(评论率1.2%),2020-06-11,72,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B1W7YSB,True
51,B0H27CBLM8,猫狗T恤，墨西哥队风格，绿色红条纹，领口袖口白色滚边，轻软面料，日常穿着（中号）,NESTIVO,5.0,2,450.0,167,评论数推算(评论率1.2%),2026-05-18,1,3,Solaris Casa,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0H27CBLM8,True
52,B0BQTFBXHP,希尔斯科学膳食成年7+小型犬老年犬小颗粒鸡肉味狗粮6.8kg，支持活力、心脏健康及皮肤被毛健康,Hill's Science Diet,4.7,467,1248.0,927,评论数推算(评论率1.2%),2022-12-22,42,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
53,B0B45BW58F,Raganet 宠物运输背包，猫狗通用，便携小型宠物背包（最大7公斤），尺寸：宽23cm 长33cm 高42cm，黑色,Raganet,4.6,3032,229.0,5264,评论数推算(评论率1.2%),2022-06-15,48,3,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,True
54,B0CN7CRSLH,Raganet 宠物座套，汽车座椅、沙发保护套，适合狗和猫，用于后座、后备箱或沙发，尺寸137×147×40厘米防水（全黑色）,Raganet,4.3,1624,228.0,5639,"评论数推算(评论率1.2%, 按默认24个月在售)",,,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
55,B08WLPDWV6,Barkys Biscuit 含Omega 3和6的狗零食，2.5千克,Cowjag,4.8,946,285.0,1232,评论数推算(评论率1.2%),2021-02-15,64,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
56,B07NSD6XW3,Nupec小型老年犬干粮，2公斤，1袋,Nupec,4.9,2250,468.98,2155,评论数推算(评论率1.2%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,True
57,B0153V47YU,Nupec狗粮，小型犬幼犬用，含维生素E和硒，2公斤装。,Nupec,4.8,3142,401.0,2046,评论数推算(评论率1.2%),2015-10-06,128,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
58,B07L9JHXJR,Taste Of The Wild - 荒野盛宴太平洋溪流无谷高蛋白狗粮,Taste Of The Wild,4.7,6581,1599.0,6162,评论数推算(评论率1.2%),2019-01-30,89,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
59,B074M2D1LJ,Perfect Sense 优质中大型犬成犬粮 15kg - 100%天然，含Omega 3、益生元与抗氧化剂 - 高消化率,Perfect Sense,4.6,726,1490.0,571,评论数推算(评论率1.2%),2017-08-06,106,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,True
60,B0155E0168,Fancy Pets 不锈钢狗盘，8盎司/227克,Fancy Pets,4.7,6619,45.0,4413,评论数推算(评论率1.2%),2016-01-22,125,7,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
61,B0B31M9JGB,TAIMEI 宠物垃圾袋，25卷共375只，便携一次性，适合散步和户外旅行，车载清洁袋（黑色）,TAIMEI,4.0,920,161.1,3194,"评论数推算(评论率1.2%, 按默认24个月在售)",,,2,DANPIPI,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B31M9JGB,True
62,B0B84V22ZJ,RENDIN 255 可生物降解狗袋，防漏芳香，17卷+1分配器+1夹子,RENDIN,4.8,1726,199.0,5993,"评论数推算(评论率1.2%, 按默认24个月在售)",,,4,L-JL,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,True
63,B0GWHFXGK1,战术狗项圈，厚实军用尼龙狗项圈带手柄，可调节金属扣训练狗项圈，舒适款（粉色，M）,DAQI,4.7,898,188.0,1497,评论数推算(评论率1.2%),2022-04-03,50,9,CHIYING,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0GWHFXGK1,True
64,B0GQ68VD9R,Fancy Pets 狗狗渐进式洁牙套装，含可食用牙膏90g、指套，双头牙刷，犬口腔清洁4件套,Fancy Pets,4.7,36,119.0,750,评论数推算(评论率1.2%),2026-02-25,4,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,True
65,B0D81FZFBS,Ganador Premium 鸡肉三文鱼狗湿粮,Ganador,4.6,105,209.0,365,评论数推算(评论率1.2%),2024-06-25,24,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,True
66,B0CG33JYQC,小型中型大型犬用安全胸背带带1.5米牵引绳 紫红色 M,UNA MASCOTA,4.6,1237,219.0,3032,评论数推算(评论率1.2%),2023-08-19,34,62,COMERSTAT,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
67,B002Q7SZ2A,Gamma2 宠物食品储存桶 16公斤 摩卡花岗岩色,Gamma2,4.7,72650,769.51,36471,评论数推算(评论率1.2%),2012-09-05,166,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B002Q7SZ2A,True
68,B07ZV7G6Y6,普瑞纳Beneful成犬小型犬粮牛肉米饭味20包100g,WeTap,4.7,1484,220.0,1546,评论数推算(评论率1.2%),2019-10-31,80,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07ZV7G6Y6,True
69,B09WP12B7N,宝路 - 狗用湿粮包，羔羊肉片口味，含天然成分，蛋白质和纤维，24包，每包100克,Pedigree,4.8,770,227.9,1258,评论数推算(评论率1.2%),2022-03-28,51,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
70,B0CSTG692R,Fancy Pets 大型狗狗冷却垫 Aqua Cool | 自冷、便携、无毒 | 室内外使用,Fancy Pets,4.3,928,314.0,2667,评论数推算(评论率1.2%),2024-01-19,29,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CSTG692R,True
71,B00NLMJ6F4,维克Nutri-Plus营养凝胶120g | 兽医专用犬猫营养补充剂 | 补充能量与维生素，促进快速恢复 | 适口凝胶,Virbac,4.8,296,341.0,191,评论数推算(评论率1.2%),2015-09-08,129,1,Miss Rou,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B00NLMJ6F4,True
72,B0BPN22XQT,Platina Plus 超浓缩宠物除臭去渍剂，100次用量，适用于室内外、织物和家具（500ml）,PLATINA,4.4,827,290.0,2872,"评论数推算(评论率1.2%, 按默认24个月在售)",,,1,USA Detergente,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BPN22XQT,True
73,B07MQP8RLK,Fancy Pets Medical Solutions 狗猫皮肤脚垫保湿修复软膏,Fancy Pets,4.7,7765,108.16,7271,评论数推算(评论率1.2%),2019-01-11,89,1,FancyPets,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B07MQP8RLK,True
74,B01EY98NDS,Nupec敏感型抗过敏狗粮，15公斤装,Nupec,4.8,2248,2099.0,1548,评论数推算(评论率1.2%),2016-05-18,121,1,Amikoo Peek,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01EY98NDS,True
75,B0CF64R8Y1,Dogelthy 肠胃辅助 益生元+益生菌 每勺含30亿CFU 犬用补充剂 270克（鱼肉味）可添加至狗粮或生骨肉饮食,Dogelthy,4.6,1155,729.0,2831,评论数推算(评论率1.2%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,True
76,B0723HRWJW,Nature's Miracle 宠物去渍除臭剂 946毫升 先进配方 去除顽固污渍 中和异味 适用于家具、地毯、硬地板和织物,Nature's Miracle,4.4,23097,299.0,17822,评论数推算(评论率1.2%),2017-06-29,108,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
77,B088BH2WLC,Feandrea 宠物床，直径60厘米，可拆卸可清洗中央垫，绒毛地毯，渐变色灰色 MPGW038G01,Feandrea,4.4,5858,349.99,6876,评论数推算(评论率1.2%),2020-07-22,71,9,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B088BH2WLC,True
78,B01FKNX4R2,Ganador幼犬全品种干粮 1x20公斤,Ganador,4.7,1138,749.0,825,评论数推算(评论率1.2%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,True
79,B0CPQYC8QZ,塑料狗屋，耐用型，适合小型、中型和大型犬，带有抬高底板和通风格栅，通风透气，易于清洁和组装,POLI PETS,4.8,530,1099.0,1472,评论数推算(评论率1.2%),2023-12-07,30,6,YO PIDO México,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CPQYC8QZ,True
80,B0F7LH8H4R,宠物除毛手套4只装 | 双面设计（静电+刷毛）| 去除狗、猫、沙发及衣物上的毛发 | 宠物除毛手套 | 轻松家居清洁（20×15厘米）,YOKNETIG,4.1,447,174.5,2865,评论数推算(评论率1.2%),2025-05-06,13,2,GUANGGUAN,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0F7LH8H4R,True
81,B0DQW2DK7K,Feandrea大型犬床 91x68x18厘米 可拆卸可清洗罩 防水内衬 加高边缘 浅灰色 MPGW282G01,Feandrea,4.7,392,749.99,2333,评论数推算(评论率1.2%),2025-04-21,14,5,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DQW2DK7K,True
82,B09FFQ4W31,狗狗轻便防水雨衣 可调节斗篷式 带反光条 黄色 3XL（胸围29.1英寸，身长23.6英寸）,AZULDIMEN,4.4,177,296.1,259,评论数推算(评论率1.2%),2021-09-03,57,12,Azuldimen,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B09FFQ4W31,True
83,B01FVRFC7W,Barkys培根波浪狗狗零食，567克,BARKYS,4.8,746,191.0,514,评论数推算(评论率1.2%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,True
84,B0CPPN5QD1,Arien 大型犬矫形床，可拆卸软人造皮草垫，防滑底可水洗,Arien,4.6,1141,699.0,3169,评论数推算(评论率1.2%),2023-12-28,30,8,Arien Life,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0CPPN5QD1,True
85,B0F494MVYC,Ganador Premium三文鱼成犬干粮20kg,Ganador,4.8,176,1142.83,1048,评论数推算(评论率1.2%),2025-04-09,14,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0F494MVYC,True
86,B07GC89BJV,希尔思科学膳食7岁以上老年犬粮，鸡肉米饭味，12kg，有助于构建长期健康基础及维持器官健康。,Hill's Science Diet,4.7,357,1872.0,692,评论数推算(评论率1.2%),2022-11-24,43,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,True
87,B072DXMH22,Thankful Dog燕麦洗发水400ml,Thankful Dog,4.7,2377,89.0,1801,评论数推算(评论率1.2%),2017-04-25,110,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B072DXMH22,True
88,B003CLAJ1E,希尔思科学饮食小型迷你老年犬粮（7岁以上），鸡肉糙米味，2kg,Hill's Science Diet,4.8,3250,564.0,2655,评论数推算(评论率1.2%),2017-12-05,102,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,True
89,B0C6BW1K8R,Raganet宠物运输笼，金属门，可运输5公斤以内小宠物，尺寸50x30x30厘米，黑色,Raganet,4.5,1142,239.0,2572,评论数推算(评论率1.2%),2023-05-25,37,4,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0C6BW1K8R,True
90,B071937LW8,Regalo Easy Fit 可调节婴儿安全门，宽26-42英寸,Regalo,4.5,15707,697.11,54538,"评论数推算(评论率1.2%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,True
