排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
11,B0153V7ZTO,Purina 狗粮成人中大型犬肉鸡肉味 7.5Kg,Dog Chow,4.8,4075,337.47,1417,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
12,B01MQFPHMN,Winner Premium 成人 20 公斤，小型品种，黑色。包装可能有所不同,Ganador,4.7,2533,899.0,881,评论数推算(评论率2.5%),2016-11-08,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
13,B09R93SSD5,Purina Beneful 成人所有尺寸 Radiant Health 三文鱼味 10 公斤,Purina,4.8,4255,599.0,3211,评论数推算(评论率2.5%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
14,B0DM9Q93RR,Fancy Pets 狗和猫医疗解决方案三文鱼油 490 毫升 |含有 DHA 和 EPA 的 Omega 3 |健康皮肤、光泽皮毛和强大免疫系统的补充剂,Medical Solutions,4.5,1936,274.68,4076,评论数推算(评论率2.5%),2024-11-07,19,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
15,B018M8AR90,干宠物训狗垫 30 片,Dry Pet,4.6,3740,159.81,1236,评论数推算(评论率2.5%),2016-05-06,121,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
16,B0CF63JSS9,Dogelthy 纯三文鱼油 450 毫升。每剂狗用 Omega 3 三文鱼油含有 300 毫克 EPA + DHA。狗的鱼油补充剂。用于炸丸子或呕吐饮食。,Dogelthy,4.7,2970,569.0,3494,评论数推算(评论率2.5%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
17,B0CF4BLG83,多格尔蒂移动性。含有葡萄糖胺、软骨素和 2 型 UCII 胶原蛋白粉的狗狗软骨保护补充剂。炸丸子或 Barf Diet 270 克的补充品。 （鱼）,Dogelthy,4.6,2060,1067.0,2424,评论数推算(评论率2.5%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
18,B0CXYTC8WM,胜利犬干粮20公斤,Ganador,4.7,1631,699.0,2416,评论数推算(评论率2.5%),2024-03-13,27,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
19,B09R916GQ3,WeTap Purina Beneful 成人原味肉味 10Kg,WeTap,4.8,2615,635.0,1974,评论数推算(评论率2.5%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
20,B0GTX2FQ24,FIFA 官方设计狗狗 T 恤 – 墨西哥 – XS 码,FIFA,3.1,11,179.0,147,评论数推算(评论率2.5%),2026-03-25,3,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GTX2FQ24,True
21,B003CL6Q84,Hill's Science Diet 成人小型和迷你型，小型成年犬鸡肉味炸丸子 7 公斤，狗粮，有助于为长期健康、皮肤和毛发奠定基础,Hill's Science Diet,4.8,25127,1248.0,6484,评论数推算(评论率2.5%),2013-07-08,155,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
22,B071HPBSHV,亚马逊 Basics 公狗尿布，30 片装，小型，超吸水性一次性尿布，牢固贴合，防漏且舒适,Amazon Basics,4.5,32164,364.9,12371,评论数推算(评论率2.5%),2017-10-23,104,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
23,B0CK32S653,瓦吉斯叮咬|天然狗粮|柔软、无谷物、高蛋白 |红薯和三文鱼|丰富又美味|宠物健康零食 |非常适合培训 | 100 颗软咀嚼片,Waggys,4.6,599,149.0,726,评论数推算(评论率2.5%),2023-09-28,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
24,B0153V43UI,Nupec 狗用炸丸子，成人，含 Omega 3 和 6，5 公斤。,Nupec,4.8,3989,712.0,1227,评论数推算(评论率2.5%),2015-09-01,130,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
25,B08TH7LVQK,狗床，坚固，舒适，填充柔软，尺寸和颜色可供选择（小号，黑色/灰色）,PETS APPAREL HILLS,4.6,10321,299.0,6351,评论数推算(评论率2.5%),2021-01-20,65,49,I Jacket,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,True
26,B00MW8G3YU,Amazon Basics 狗狗和小狗吸水布，5 层防漏快干设计，训练用，22 英寸 x 22 英寸（标准），50 片装，蓝色/白色,Amazon Basics,4.5,216859,429.9,510256,评论数推算(评论率2.5%),2025-01-11,17,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00MW8G3YU,True
27,B01FUDI7F6,Nupec 狗用炸丸子，高级，15 公斤。,Nupec,4.8,5166,1959.0,1708,评论数推算(评论率2.5%),2016-05-18,121,3,Amikoo Peek,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
28,B01FUDI7OC,Nupec 狗粮，体重控制，超重或肥胖狗的营养品，15 公斤。,Nupec,4.8,3926,2236.88,1298,评论数推算(评论率2.5%),2016-05-18,121,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,True
29,B01FVRF920,Barkys 80136100614 Jerky Sticks 肉棒 1 公斤，1 块，小,BARKYS,4.8,1542,259.0,510,评论数推算(评论率2.5%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
30,B07NSD6XW3,Nupec 高级小型犬干粮，2 公斤，1 包,Nupec,4.9,2249,468.98,1034,评论数推算(评论率2.5%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,True
31,B0088LIINY,地球级狗便便袋，8 卷 120 袋，带薰衣草香味,Earth Rated,4.9,199357,165.0,332262,"评论数推算(评论率2.5%, 按默认24个月在售)",,,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,True
32,B0153V4056,Nupec 狗、小狗用炸丸子，含维生素 E 和硒，8 公斤。,Nupec,4.8,9472,1125.0,2914,评论数推算(评论率2.5%),2015-09-01,130,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4056,True
33,B076VSDJY1,亚马逊 Basics 狗便便袋，带分配器，270 件装，升级确保无泄漏，薰衣草香味，包括皮带夹,Amazon Basics,4.9,65550,189.9,154235,评论数推算(评论率2.5%),2025-01-11,17,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VSDJY1,True
34,B0118VV13O,Hill's Natural 训练零食，柔软耐嚼，狗训练零食，90 克,Hill's,4.7,3882,110.0,1294,评论数推算(评论率2.5%),2016-06-24,120,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
35,B07PY5FGR1,Cloralex Pets，消除难闻气味 3.75 L,Cloralex,4.8,2445,85.0,4075,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
36,B01FKNX3FU,小型犬成年组冠军，20 公斤，蓝色,Ganador,4.8,1505,789.0,523,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
37,B07ZV7G6Y6,Purina Beneful 成人迷你和小型犬肉米味 20 包 100 克,WeTap,4.7,1482,180.0,741,评论数推算(评论率2.5%),2019-10-31,80,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07ZV7G6Y6,True
38,B07TGKCWWP,干宠物 CH P/狗尿布 - 12 PZ,Fancy Pets,4.5,1454,131.53,692,评论数推算(评论率2.5%),2019-06-25,84,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
39,B018TYLZU2,Fancy Pets 狗狗草 GDE 狗狗训练垫 |带托盘和网格的人造草|气味控制和易于清洁,Fancy Pets,4.4,10013,498.0,3154,评论数推算(评论率2.5%),2015-12-02,127,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018TYLZU2,True
40,B0DF4M5KD8,Dogelthy 脱水牛肉气管。 100% 天然狗粮，不含防腐剂或人工香料。狗零食。幼犬、成年犬和老年犬的零食 100 克。,Dogelthy,4.5,274,239.0,498,评论数推算(评论率2.5%),2024-08-23,22,4,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DF4M5KD8,True
41,B01M8G9HYE,Nupec PENU7138 - AAAAAA 放松狗狗零食，180 克（包装可能有所不同）,Nupec,4.6,5383,108.0,1872,评论数推算(评论率2.5%),2016-11-02,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
42,B0DHTX55DZ,Spring Blossoms 2 合 1 专业猫狗美容耙、可轻松去除垫子和缠结的梳子、安全宠物刷（蓝色）,Spring Blossoms,4.7,4168,297.99,7939,评论数推算(评论率2.5%),2024-09-24,21,6,GoodHappens,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DHTX55DZ,True
43,B01N30FZTO,Purina 狗粮幼犬中大型犬肉、鸡肉和水果味 7.5 公斤,Dog Chow,4.8,2222,337.47,1046,评论数推算(评论率2.5%),2019-05-25,85,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
44,B09Y1RNQXL,Pedigree - 小型犬用信封，鸡肉味，含天然成分、蛋白质和纤维，24 个信封，每个 100 克,Pedigree,4.8,620,227.9,496,评论数推算(评论率2.5%),2022-04-15,50,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1RNQXL,True
45,B07PSK15Y2,Nupec 小型老年犬干狗粮 - 1 x 8 公斤,Nupec,4.8,4236,1504.57,1948,评论数推算(评论率2.5%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,True
46,B07GV57JYJ,PetLovers 450 件衣服除毛片套装 - 超粘性除毛滚筒、宠物除毛滚筒 - 5 件装,PetLovers,4.7,36368,379.0,60613,"评论数推算(评论率2.5%, 按默认24个月在售)",,,6,PetLovers MX,品牌方(美国),美国,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,True
47,B0BQX4HLCS,Raganet，适合中小型宠物的便携式笔，宠物屋高 58 厘米 x 长 78 厘米，防水牛津布，室内室外，安全坚固（灰色）,Raganet,4.6,1025,219.0,976,评论数推算(评论率2.5%),2022-12-23,42,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
48,B09Z6QHGTG,带 LED 灯的狗和猫用指甲刀：照亮指甲或血线，以实现安全切割。超锋利的刀片适合厚指甲，快速传感器可防止过度切割。非常适合狗和猫。,Elvess,4.6,1640,195.65,1312,评论数推算(评论率2.5%),2022-04-29,50,1,elvess,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,True
49,B0CN7CRSLH,Raganet、宠物套、汽车座套、扶手椅。非常适合狗和猫，适合后座、行李箱或沙发，尺寸：137 * 147 * 40 厘米防水（全黑）,Raganet,4.3,1623,228.0,2705,"评论数推算(评论率2.5%, 按默认24个月在售)",,,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
50,B075N8M4BQ,Cesar - 狗粮信封，菲力牛排风味果汁，24 个信封，75 克。每个,Cesar,4.7,780,236.0,297,评论数推算(评论率2.5%),2017-09-11,105,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
51,B09232RF2N,完美感高级3公斤,Perfect Sense,4.7,702,389.0,347,评论数推算(评论率2.5%),2019-09-17,81,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,True
52,B0DW5GCZPX,HI MULTI PRO 优质成年犬小型犬粮,HI MULTI PRO,4.7,227,560.98,568,评论数推算(评论率2.5%),2025-02-05,16,1,ALBAPESA,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DW5GCZPX,True
53,B0F96F3XWF,King Dog & Cat Clean 宠物狗训练垫，40 片，60 x 60 厘米，6 层 最大程度吸收和卫生，适合狗狗,King Dog & Cat,4.6,7,275.0,12,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Zeitex,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
54,B0BBSG79MX,Pedigree - 成年犬高蛋白食品，牛肉和鸡肉味，24 包，每包 85 克，含蛋白质、抗氧化剂和维生素 E,Pedigree,4.8,1116,228.0,970,评论数推算(评论率2.5%),2022-08-24,46,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
55,B0B45BW58F,Raganet，宠物背袋，狗和猫，小型宠物便携式背包（最大 7 公斤） 尺寸：宽 23 厘米 长 33 厘米 高 42 厘米（黑色）,Raganet,4.6,3030,229.0,2525,评论数推算(评论率2.5%),2022-06-15,48,3,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,True
56,B08WLPDWV6,Barkys 狗粮饼干，含 Omega 3 和 6，2.5 公斤,Cowjag,4.8,943,285.0,589,评论数推算(评论率2.5%),2021-02-15,64,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
57,B0GWHHR2P1,战术狗项圈，厚军用尼龙狗项圈，带手柄，可调节重型金属扣狗项圈，适合训狗，舒适（粉色，L）,DAQI,4.7,895,188.0,716,评论数推算(评论率2.5%),2022-04-03,50,9,CHIYING,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0GWHHR2P1,True
58,B0CDYWTMRM,Purina 狗粮成人各种尺寸肉鸡肉味 18 公斤,Dog Chow,4.7,530,749.0,624,评论数推算(评论率2.5%),2023-08-07,34,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYWTMRM,True
59,B074M2D1LJ,Perfect Sense 成年犬中大型犬 MLB 优质食品 15 公斤 - 100% 天然，含 Omega 3、益生元和抗氧化剂 - 高消化率,Perfect Sense,4.6,726,1414.8,274,评论数推算(评论率2.5%),2017-08-06,106,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,True
60,B0DR889BNG,狗雨衣可调节轻质雨衣雨披连帽衫带反光条（黄色，4XL（胸围：33 英寸，身长 27.5 英寸））,AZULDIMEN,4.4,177,314.1,124,评论数推算(评论率2.5%),2021-09-03,57,12,Azuldimen,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DR889BNG,True
61,B0D82BRDDH,塑料狗屋，适合小型、中型和大型犬的耐用房屋，带高架地板和通风格栅，通风，易于清洁和组装狗窝,POLI PETS,4.8,524,1949.0,873,评论数推算(评论率2.5%),2024-06-26,24,7,YO PIDO México,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0D82BRDDH,True
62,B0723HRWJW,Nature's Miracle - 狗污渍和异味去除剂 - 946 毫升 - 先进配方 - 清洁最顽固的污渍 - 中和异味 - 适用于家具、地毯、硬地板和织物,Nature's Miracle,4.4,23083,299.0,8549,评论数推算(评论率2.5%),2017-06-29,108,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
63,B01FKNX4R2,获胜者小狗所有品种干粮 - 1 x 20 公斤,Ganador,4.7,1136,749.0,395,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,True
64,B0CG33JYQC,"适用于小型、中型和大型犬的胸部安全带，带 1.5m 牵引绳 (Fuscia, M)",UNA MASCOTA,4.6,1234,219.0,1452,评论数推算(评论率2.5%),2023-08-19,34,63,COMERSTAT,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
65,B08B1XMBV1,Medical Solutions 可调节伊丽莎白项圈，适合精美宠物狗和猫 - 术后保护，防止舔和抓伤 - 尺寸 3（29 厘米）,Fancy Pets,4.4,3017,114.12,1676,评论数推算(评论率2.5%),2020-06-11,72,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B1XMBV1,True
66,B07L9JHXJR,野味 - Pacific Stream 优质干狗粮，无谷物，高蛋白,Taste Of The Wild,4.7,6575,1502.0,2955,评论数推算(评论率2.5%),2019-01-30,89,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
67,B0153V47YU,Nupec 炸丸子适合狗、幼犬、小型犬，含有维生素 E 和硒，2 公斤装。,Nupec,4.8,3138,401.0,981,评论数推算(评论率2.5%),2015-10-06,128,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
68,B01FVRFC7W,Barkys 培根波浪狗零食，567 克,BARKYS,4.8,746,137.75,247,评论数推算(评论率2.5%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,True
69,B0155E0168,精美宠物不锈钢狗碗，8 盎司或 227 克,Fancy Pets,4.7,6616,45.0,2117,评论数推算(评论率2.5%),2016-01-22,125,7,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
70,B09Y1R1GWL,Pedigree - 小型犬用信封，牛片味，含天然成分、蛋白质和纤维，24 个信封，每个 100 克,Pedigree,4.8,876,227.9,701,评论数推算(评论率2.5%),2022-04-15,50,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1R1GWL,True
71,B0B84V22ZJ,RENDIN 255 可生物降解狗包，防漏且芳香狗包，17 卷 + 1 个分配器 + 1 个夹子,RENDIN,4.8,1725,199.0,2875,"评论数推算(评论率2.5%, 按默认24个月在售)",,,4,L-JL,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,True
72,B0B31M9JGB,TAIMEI 宠物垃圾袋，25卷375个，便携式一次性户外散步和旅行，车载清洁袋。（黑色）,TAIMEI,4.0,919,161.1,1532,"评论数推算(评论率2.5%, 按默认24个月在售)",,,2,DANPIPI,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B31M9JGB,True
73,B088BH2WLC,Feandrea 狗床，宠物床，直径 60 厘米，可拆卸可清洗中央垫，毛绒地毯，灰色 Ombré MPGW038G01,Feandrea,4.4,5854,314.99,3298,评论数推算(评论率2.5%),2020-07-22,71,10,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B088BH2WLC,True
74,B0CSTG692R,Fancy Pets 大号 Aqua Cool 冷却狗垫 |自冷却、便携、无毒 |室内和室外使用,Fancy Pets,4.3,928,314.0,1280,评论数推算(评论率2.5%),2024-01-19,29,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CSTG692R,True
75,B0GQ68VD9R,Fancy Pets Progressive 狗狗牙科套件，带食用牙膏 90 克和顶针，包括双头刷犬口腔卫生 4 件,Fancy Pets,4.7,34,119.0,340,评论数推算(评论率2.5%),2026-02-25,4,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,True
76,B0BQTFBXHP,Hill's Science Diet 成人 7+ 小口炸肉饼，适合小型犬老年犬鸡肉味 6.8 公斤，适合老年犬的食物，支持活力心脏健康健康皮肤和皮毛,Hill's Science Diet,4.7,467,1248.0,445,评论数推算(评论率2.5%),2022-12-22,42,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
77,B0DL98VSFP,540 个可生物降解狗屎袋 36 卷，带分配器和夹子，宠物垃圾袋，便携式狗屎袋，薰衣草味,ESRAIN,4.8,278,298.0,463,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,ESRAIN,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DL98VSFP,True
78,B0H27CBLM8,狗猫T恤，墨西哥精选设计，绿红条纹，领口和袖子白色镶边，面料轻薄柔软，日常使用（中）,NESTIVO,5.0,1,450.0,40,评论数推算(评论率2.5%),2026-05-18,1,4,Solaris Casa,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0H27CBLM8,True
79,B07GC89BJV,Hill's Science Diet 成人 7 岁以上，老年犬炸丸子鸡肉和米味 12 公斤，老年犬食品，有助于为长期健康和健康器官奠定基础。,Hill's Science Diet,4.7,357,1872.0,332,评论数推算(评论率2.5%),2022-11-24,43,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,True
80,B07MQP8RLK,Fancy Pets Medical Solutions 用于狗和/或猫皮肤和轴承的保湿和修复软膏,Fancy Pets,4.7,7761,85.59,3488,评论数推算(评论率2.5%),2019-01-11,89,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07MQP8RLK,True
81,B0CZPKZSWJ,Fancy Pets 黑色绳牵引绳 1.60 米 适合狗狗,Fancy Pets,4.6,446,126.0,686,评论数推算(评论率2.5%),2024-04-02,26,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CZPKZSWJ,True
82,B07FXZSFH3,Nupec 狗狗训练功能零食，0.180 公斤，1 包,Nupec,4.8,1304,113.0,549,评论数推算(评论率2.5%),2018-07-26,95,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07FXZSFH3,True
83,B0C6YPYBMR,Grisi 宠物护理，防尿剂，490 毫升,Thankful Dog,3.9,153,189.0,170,评论数推算(评论率2.5%),2023-06-02,36,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0C6YPYBMR,True
84,B09KQVCC67,狗尿液清除剂 Plus 946 毫升,Nature's Miracle,4.4,3939,313.0,2865,评论数推算(评论率2.5%),2021-11-01,55,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09KQVCC67,True
85,B0D81FZFBS,Winner 优质鸡肉和三文鱼湿狗粮,Ganador,4.6,105,209.0,175,评论数推算(评论率2.5%),2024-06-25,24,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,True
86,B07BDVS94Q,完美感官成人 SB 3 公斤,Perfect Sense,4.7,841,389.0,340,评论数推算(评论率2.5%),2018-03-12,99,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07BDVS94Q,True
87,B0929DKD6Z,Beneful Purina 成人热带能量肉火鸡味 10Kg,Beneful,4.8,1499,614.0,967,评论数推算(评论率2.5%),2021-04-12,62,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0929DKD6Z,True
88,B0BPN22XQT,Platina Plus - 宠物除味剂 - 超浓缩 - 100 次洗涤 - 去除污渍 - 适用于户外、室内、织物和家具（500 毫升）,PLATINA,4.4,823,290.0,1372,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,USA Detergente,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BPN22XQT,True
