排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
47,B0F96F3XWF,King Dog & Cat 宠物训练垫 Clean Pet，40片装，60x60厘米，6层超强吸水卫生垫,King Dog & Cat,4.6,7,275,700,亚马逊官方(上月购买量),,,1,Zeitex,第三方(墨西哥),墨西哥,MX/52764/MEXICO/HUIXQUILUCAN DE DEGOLLADO/AVENIDA JESUS DEL MONTE 39 PISO 2B JESUS DEL MONTE,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,TRUE
48,B0BBSG79MX,宝路高蛋白成年犬粮，牛肉鸡肉口味，24袋×85g，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1117,228,1000,亚马逊官方(上月购买量),8/24/2022,46,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,TRUE
49,B075N8M4BQ,西莎 狗粮包 菲力牛排原汁风味 24包 每包75克,Cesar,4.7,780,236,300,亚马逊官方(上月购买量),9/11/2017,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,TRUE
50,B08B1W7YSB,MS伊莎贝拉风格项圈 1号（22厘米）,Fancy Pets,4.4,3020,74.82,100,亚马逊官方(上月购买量),6/11/2020,72,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B1W7YSB,TRUE
51,B0H27CBLM8,猫狗T恤，墨西哥队设计，绿红条纹，领口袖口白色镶边，轻软面料，日常穿着（中号）,NESTIVO,5,2,450,167,评论数推算(评论率1.2%),5/18/2026,1,3,Solaris Casa,第三方(墨西哥),墨西哥,MX/01900/墨西哥城/阿尔瓦罗·奥夫雷贡/2号房/拉瓦261,FBA,https://www.amazon.com.mx/dp/B0H27CBLM8,TRUE
52,B0B45BW58F,Raganet 宠物运输背包，适用于小型犬猫（最大承重7公斤），尺寸：宽23cm 长33cm 高42cm，黑色,Raganet,4.6,3031,229,700,亚马逊官方(上月购买量),6/15/2022,48,3,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥/惠克斯基卢坎-德德戈利亚多/多斯里奥斯/维森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,TRUE
53,B0BQTFBXHP,希尔思科学饮食7岁以上小型犬老年犬小颗粒鸡肉味狗粮6.8kg，支持活力、心脏健康及皮肤被毛健康,Hill's Science Diet,4.7,467,1248,900,亚马逊官方(上月购买量),12/22/2022,42,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,TRUE
54,B08WLPDWV6,Barkys Biscuit 狗狗零食 含Omega 3和6，2.5kg,Cowjag,4.8,946,285,1000,亚马逊官方(上月购买量),2/15/2021,64,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,TRUE
55,B0CN7CRSLH,Raganet 宠物罩，汽车座椅套，沙发套，适合猫狗，用于后座、后备箱或沙发，尺寸：137x147x40厘米，防水（全黑色）,Raganet,4.3,1624,228,200,亚马逊官方(上月购买量),,,2,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥州/韦克斯基卢坎德戈利亚多/多斯里奥斯/比森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,TRUE
56,B07NSD6XW3,Nupec 老年小型犬干狗粮 2公斤 1包装,Nupec,4.9,2250,468.98,1000,亚马逊官方(上月购买量),3/18/2019,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,TRUE
57,B0153V47YU,Nupec狗粮，幼犬小品种配方，含维生素E和硒，2公斤装。,Nupec,4.8,3142,401,800,亚马逊官方(上月购买量),10/6/2015,128,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,TRUE
58,B07L9JHXJR,荒野盛宴太平洋溪流高级无谷高蛋白狗粮,Taste Of The Wild,4.7,6581,1599,800,亚马逊官方(上月购买量),1/30/2019,89,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,TRUE
59,B074M2D1LJ,完美感官优质中大型成犬粮 MLB 15kg - 100%天然，含Omega3、益生元和抗氧化剂，高消化率,Perfect Sense,4.6,726,1490,500,亚马逊官方(上月购买量),8/6/2017,106,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,TRUE
60,B0155E0168,Fancy Pets 不锈钢狗碗 8盎司（227克）,Fancy Pets,4.7,6619,45,400,亚马逊官方(上月购买量),1/22/2016,125,7,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,TRUE
61,B0B31M9JGB,TAIMEI宠物垃圾袋，25卷共375个，便携一次性户外步行旅行用，车载清洁袋（黑色）,TAIMEI,4,920,161.1,400,亚马逊官方(上月购买量),,,2,DANPIPI,第三方(中国),中国,中国/518000/广东/深圳市/龙景科技园H栋307/龙岗区坂田街道马安堂社区布龙路335号,FBA,https://www.amazon.com.mx/dp/B0B31M9JGB,TRUE
62,B0B84V22ZJ,RENDIN 255 可降解防漏芳香狗便袋，17卷+1分配器+1夹子,RENDIN,4.8,1726,199,600,亚马逊官方(上月购买量),,,4,L-JL,第三方(中国),中国,中国/518129/广东/龙岗/深圳/21栋203室/坂田街道坂田社区第三工业区,FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,TRUE
63,B0GQ68VD9R,Fancy Pets狗狗渐进式洁牙套装（含可食用牙膏90g、指套、双头牙刷）4件套,Fancy Pets,4.7,37,119,800,亚马逊官方(上月购买量),2/25/2026,4,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,TRUE
64,B0GWHFXGK1,战术犬项圈，军用加厚尼龙狗项圈带手柄，可调节金属扣耐用的狗项圈，适合训练，舒适（粉色，M）,DAQI,4.7,898,188,100,亚马逊官方(上月购买量),4/3/2022,50,9,CHIYING,第三方(中国),中国,中国/06000/广东省/龙岗区/深圳市/坂田街道万科城社区新天下百瑞达大厦四层401室,FBA,https://www.amazon.com.mx/dp/B0GWHFXGK1,TRUE
65,B0D81FZFBS,高级鸡肉三文鱼犬用湿粮,Ganador,4.6,105,209,300,亚马逊官方(上月购买量),6/25/2024,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,TRUE
66,B0CG33JYQC,小型、中型和大型犬用安全胸背带（含1.5米牵引绳），紫红色，M号,UNA MASCOTA,4.6,1237,219,3032,评论数推算(评论率1.2%),8/19/2023,34,62,COMERSTAT,第三方(墨西哥),墨西哥,墨西哥/06000/墨西哥城/墨西哥城/中心区（1区）/埃赫中央拉萨罗·卡德纳斯 119 LOC 2 3,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,TRUE
67,B0CSTG692R,Fancy Pets 大型狗用清凉垫 Aqua Cool 自冷便携无毒 室内外两用,Fancy Pets,4.3,929,314,500,亚马逊官方(上月购买量),1/19/2024,29,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CSTG692R,TRUE
68,B002Q7SZ2A,Gamma2 Vittles Vault 宠物食品容器 16公斤 摩卡花岗岩色,Gamma2,4.7,72650,769.51,400,亚马逊官方(上月购买量),9/5/2012,166,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B002Q7SZ2A,TRUE
69,B07ZV7G6Y6,Purina Beneful成犬迷你小型犬牛肉米饭口味100克20包装,WeTap,4.7,1484,220,1000,亚马逊官方(上月购买量),10/31/2019,80,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07ZV7G6Y6,TRUE
70,B07MQP8RLK,Fancy Pets医疗解决方案 狗猫皮肤及爪垫保湿修复软膏,Fancy Pets,4.7,7765,108.16,1000,亚马逊官方(上月购买量),1/11/2019,89,1,FancyPets,品牌方(墨西哥),墨西哥,墨西哥/05120/墨西哥城/库阿希马尔帕德莫雷洛斯/Col. 博斯克德拉斯洛马斯/博斯克德阿利索斯 47 B A1 - 21,FBA,https://www.amazon.com.mx/dp/B07MQP8RLK,TRUE
71,B09WP12B7N,Pedigree 狗用湿粮包，羊肉片口味，天然成分，含蛋白质和纤维，24包，每包100g,Pedigree,4.8,770,227.9,1000,亚马逊官方(上月购买量),3/28/2022,51,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,TRUE
72,B0CPQYC8QZ,塑料狗屋，耐用型，适合小型、中型和大型犬，带抬高底板和通风格栅，通风良好，易于清洁和组装,POLI PETS,4.8,530,1099,50,亚马逊官方(上月购买量),12/7/2023,30,6,YO PIDO México,第三方(墨西哥),墨西哥,墨西哥/64390/新莱昂/蒙特雷/萨帕塔/C. 拉萨罗·卡德纳斯 670,FBA,https://www.amazon.com.mx/dp/B0CPQYC8QZ,TRUE
73,B00NLMJ6F4,威霸Nutri-Plus营养凝胶120克 | 犬猫兽医专用 | 提供能量、维生素及快速恢复 | 适口凝胶,Virbac,4.8,296,341,900,亚马逊官方(上月购买量),9/8/2015,129,1,Miss Rou,第三方(墨西哥),墨西哥,墨西哥/06400/墨西哥城/墨西哥城/圣玛丽亚拉里韦拉/圣玛丽亚拉里韦拉 142,FBA,https://www.amazon.com.mx/dp/B00NLMJ6F4,TRUE
74,B0CF64R8Y1,Dogelthy肠胃辅助 狗狗益生元益生菌补充剂 每勺超30亿CFU 270克鱼肉味 狗粮或生食伴侣,Dogelthy,4.6,1155,729,300,亚马逊官方(上月购买量),8/9/2023,34,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日街 #15 内6,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,TRUE
75,B01EY98NDS,Nupec狗粮，敏感型，控制过敏，15公斤装。,Nupec,4.8,2248,2099,900,亚马逊官方(上月购买量),5/18/2016,121,1,Amikoo Peek,第三方(墨西哥),墨西哥,"墨西哥/52927/墨西哥州/阿蒂萨潘德萨拉戈萨/马林切 50, 科洛尼亚圣米格尔索奇曼加",FBA,https://www.amazon.com.mx/dp/B01EY98NDS,TRUE
76,B0BPN22XQT,Platina Plus - 宠物除臭剂 - 超浓缩 - 可洗100次 - 去除污渍 - 适用于户外、室内、织物和家具（500毫升）,PLATINA,4.4,827,290,500,亚马逊官方(上月购买量),,,1,USA Detergente,第三方(墨西哥),墨西哥,墨西哥/66420/新莱昂/圣尼古拉斯德洛斯加尔萨/本地/巴拉甘大道205号，大学别墅区,FBA,https://www.amazon.com.mx/dp/B0BPN22XQT,TRUE
77,B0723HRWJW,自然奇迹 狗狗污渍气味去除剂 946毫升 先进配方 清洁顽固污渍 中和异味 适用于家具、地毯、硬地板和织物,Nature's Miracle,4.4,23097,299,600,亚马逊官方(上月购买量),6/29/2017,108,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,TRUE
78,B01FKNX4R2,Ganador幼犬全犬种干粮20kg,Ganador,4.7,1138,749,500,亚马逊官方(上月购买量),11/24/2016,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,TRUE
79,B088BH2WLC,Feandrea 狗床，宠物床，直径60厘米，可拆洗中央垫，毛绒地毯，灰蓝渐变 MPGW038G01,Feandrea,4.4,5858,349.99,300,亚马逊官方(上月购买量),7/22/2020,71,9,COWIT MX,第三方(墨西哥),墨西哥,墨西哥/02800/阿斯卡波察尔科/新圣玛丽亚/维德街83,FBA,https://www.amazon.com.mx/dp/B088BH2WLC,TRUE
80,B0DQW2DK7K,Feandrea 大狗床，91x68x18厘米，可拆洗罩，防水内衬，加高边缘，浅灰色 MPGW282G01,Feandrea,4.7,392,749.99,100,亚马逊官方(上月购买量),4/21/2025,14,5,COWIT MX,第三方(墨西哥),墨西哥,墨西哥/02800/阿斯卡波察尔科/新圣玛丽亚/维德街83,FBA,https://www.amazon.com.mx/dp/B0DQW2DK7K,TRUE
