排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
22,B09R916GQ3,WeTap Purina Beneful Adulto Original Sabor Carne 10Kg,WeTap,4.8,2615,635.0,1974,评论数推算(评论率2.5%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
23,B00MW8G3YU,"Amazon Basics Paños absorbentes para perros y cachorros, diseño de 5 capas sin filtraciones y secado rápido, para entrenamiento, 55.9 x 55.9 cm (estándar), paquete de 50, azul y blanco",Amazon Basics,4.5,216858,429.9,510254,评论数推算(评论率2.5%),2025-01-11,17,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00MW8G3YU,True
24,B0153V43UI,"Nupec croquetas para Perros, Adulto, con Omega 3 y 6, presentación de 5 kg.",Nupec,4.8,3989,712.0,1227,评论数推算(评论率2.5%),2015-09-01,130,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
25,B0CK32S653,"Waggys Bites | Premios para Perro Naturales | Suaves, Sin Granos, Altos en Proteína | Camote y Salmón | Ricos y Deliciosos | Snack Saludable para Mascotas | Ideal para Entrenamiento | 100 Soft Chews",Waggys,4.6,599,149.0,726,评论数推算(评论率2.5%),2023-09-28,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
26,B0H27CBLM8,"Playera para Perros y Gatos, Diseño Selección Mexicana, Verde con Rayas Rojas, Cuello y Mangas con Vivos en Blanco, Tela Ligera y Suave, Uso Diario (Medium)",NESTIVO,5.0,1,450.0,40,评论数推算(评论率2.5%),2026-05-18,1,3,Solaris Casa,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0H27CBLM8,True
27,B01FVRF920,"Barkys 80136100614 Jerky Sticks Palitos de Carne 1 kg, 1 Pieza, Small",BARKYS,4.8,1542,259.0,510,评论数推算(评论率2.5%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
28,B08TH7LVQK,"Cama para Perro, Resistente, Confortable, con Relleno Suave, Medidas y Color a Elegir (Small, Negra/Gris)",PETS APPAREL HILLS,4.6,10321,299.0,6351,评论数推算(评论率2.5%),2021-01-20,65,49,I Jacket,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,True
29,B0118VV13O,"Hill's Natural Training Soft and Chewy Treats, Premios De Entrenamiento para Perros, 90 G",Hill's,4.7,3882,110.0,1294,评论数推算(评论率2.5%),2016-06-24,120,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
30,B01FUDI7F6,"Nupec croquetas para Perros, Senior, presentación de 15 kg.",Nupec,4.8,5166,1959.0,1708,评论数推算(评论率2.5%),2016-05-18,121,3,Amikoo Peek,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
31,B01FUDI7OC,"Nupec alimento para Perros, Weight Control, nutrición para Perros con sobrepeso u obesidad, presentación de 15 kg.",Nupec,4.8,3926,2236.88,1298,评论数推算(评论率2.5%),2016-05-18,121,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,True
32,B0088LIINY,"Earth Rated - Bolsas para excremento de perros, 120 bolsas en 8 rollos con olor a lavanda",Earth Rated,4.9,199355,165.0,332258,"评论数推算(评论率2.5%, 按默认24个月在售)",,,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,True
33,B0153V3ZEI,"Nupec croquetas para Perros, Cachorros, con Vitamina E y Selenio, presentación de 5 kg.",Nupec,4.8,9472,723.0,2914,评论数推算(评论率2.5%),2015-09-01,130,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3ZEI,True
34,B01FKNX3FU,"Ganador Adulto, Razas Pequeñas, 20 kg, Azul",Ganador,4.8,1505,789.0,523,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
35,B01N30FZTO,"Purina Dog Chow Cachorro Raza Mediana y Grande Sabor Carne, Pollo y Frutas 7.5Kg",Dog Chow,4.8,2222,337.47,1046,评论数推算(评论率2.5%),2019-05-25,85,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
36,B076VYPJJT,"Amazon Basics - Bolsas para excremento de perro con dispensador, paquete de 540, mejoradas para garantizar que no haya fugas, aroma a lavanda, incluye clip para correa",Amazon Basics,4.9,65549,274.9,154233,评论数推算(评论率2.5%),2025-01-11,17,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VYPJJT,True
37,B07ZV7G6Y6,Purina Beneful Adulto Raza Minis y Pequeñas Sabor Carne y Arroz 20pack de 100g,WeTap,4.7,1483,180.0,742,评论数推算(评论率2.5%),2019-10-31,80,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07ZV7G6Y6,True
38,B07PY5FGR1,"Cloralex Mascotas, Elimina Malos Olores 3.75 L",Cloralex,4.8,2445,85.0,4075,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
39,B0DHTX55DZ,"Spring Blossoms - Rastrillo de aseo profesional 2 en 1 para gatos y perros, peine para quitar fácilmente las alfombrillas y los enredos, seguro para cepillo para mascotas (Azul)",Spring Blossoms,4.7,4170,297.99,7943,评论数推算(评论率2.5%),2024-09-24,21,6,GoodHappens,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DHTX55DZ,True
40,B07NSD6XW3,"Nupec Alimento Seco para Perro Raza Pequeña Senior, 2 kg, 1 Pack",Nupec,4.9,2249,468.98,1034,评论数推算(评论率2.5%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,True
41,B07TGKCWWP,Dry Pet PAÑALES CH P/PERRO - 12 PZ,Fancy Pets,4.5,1454,131.53,692,评论数推算(评论率2.5%),2019-06-25,84,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
42,B0F96F3XWF,"King Dog & Cat Tapetes Entrenadores para Perros Clean Pet, 40 Piezas, 60 x 60 cm, 6 Capas Máxima Absorción e Higiene para Perros",King Dog & Cat,4.6,7,275.0,12,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Zeitex,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
43,B07GV57JYJ,"PetLovers Set de 450 Hojas Quita Pelusa para Ropa - Rodillo Quita Pelusa Extra Pegajoso, Rodillo Quita Pelos de Mascotas - Pack De 5",PetLovers,4.7,36368,379.0,60613,"评论数推算(评论率2.5%, 按默认24个月在售)",,,6,PetLovers MX,品牌方(美国),美国,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,True
44,B01M8G9HYE,"Nupec PENU7138 - AAAAAA Premio para Perros Relax, 180 Gr (El empaque puede variar)",Nupec,4.6,5383,108.0,1872,评论数推算(评论率2.5%),2016-11-02,115,1,COMERCIALIZADORA RIPO,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01M8G9HYE,True
45,B07PSK15Y2,Nupec Alimento Seco para Perro Raza Pequeña Senior - 1 x 8 kg,Nupec,4.8,4236,1504.57,1948,评论数推算(评论率2.5%),2019-03-18,87,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,True
46,B0DF4TZZ82,"Dogelthy Patas de Pollo Deshidratadas 100% Naturales. Premio para Perros sin Conservadores ni Saborizantes Artificiales. Snacks para Perro. Treats para Cachorros, Adultos y Senior Bolsa con 10 Piezas.",Dogelthy,4.5,274,239.0,498,评论数推算(评论率2.5%),2024-08-23,22,4,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
47,B0BBSG79MX,"Pedigree - High Protein Alimento para Perro Adulto, Sabor Res y Pollo, 24 Sobres, 85g c/u, con Proteína, Antioxidantes y Vitamina E",Pedigree,4.8,1117,228.0,971,评论数推算(评论率2.5%),2022-08-24,46,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
48,B018TYLZU2,Fancy Pets Tapete de Entrenamiento para Perros Doggie Grass GDE | Pasto Sintético con Bandeja y Rejilla | Control de Olores y Fácil Limpieza,Fancy Pets,4.4,10013,498.0,3154,评论数推算(评论率2.5%),2015-12-02,127,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018TYLZU2,True
49,B09232RF2N,PERFECT SENSE SENIOR 3 KG,Perfect Sense,4.7,702,389.0,347,评论数推算(评论率2.5%),2019-09-17,81,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,True
50,B09Z6QHGTG,"Cortauñas para perros y gatos con luz LED:ilumina uñas o línea de sangre para un corte seguro. Hojas extra afiladas para uñas gruesas, sensor rápido evita cortes excesivos. Ideal para perros y gatos.",Elvess,4.6,1641,195.65,1313,评论数推算(评论率2.5%),2022-04-29,50,1,elvess,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,True
51,B0CN7CRSLH,"Raganet, Cubierta para Mascotas, Funda Cubre Asientos de Autos, Sillones. Ideal para Perros y Gatos, para Asiento Trasero, Cajuela o Sofa, Medidas: 137 * 147 * 40cm Impermeable (Negra Completa)",Raganet,4.3,1623,228.0,2705,"评论数推算(评论率2.5%, 按默认24个月在售)",,,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
52,B0B45BW58F,"Raganet, Mochila Transportadora de Mascotas, Perros y Gatos, Back Pack Portátil para Mascota Pequeña (Máximo 7Kg) Medidas: Ancho 23cm Largo 33cm Altura 42cm (Color Negro)",Raganet,4.6,3030,229.0,2525,评论数推算(评论率2.5%),2022-06-15,48,3,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,True
53,B0BQX4HLCS,"Raganet, Corral Portátil para Mascotas Pequeñas y Medianas, Casa de Mascotas de 58Cm de Altura x 78 Cm de Largo, Impermeable de Tela Oxford, Interiores y Exteriores, Seguro y Resistente (Color Gris)",Raganet,4.6,1025,219.0,976,评论数推算(评论率2.5%),2022-12-23,42,2,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
54,B01FKNX4R2,Ganador Cachorro Todas las Razas Alimento Seco - 1 x 20 kg,Ganador,4.7,1136,749.0,395,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,True
55,B0DW5GCZPX,HI MULTI PRO Alimento Premium para Perro Adulto Razas PEQUEÑAS,HI MULTI PRO,4.7,227,560.98,568,评论数推算(评论率2.5%),2025-02-05,16,1,ALBAPESA,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DW5GCZPX,True
56,B074M2D1LJ,"Perfect Sense Alimento Premium para Perro Adulto Raza Mediana y Grande MLB 15 kg - 100% Natural con Omega 3, Prebióticos y Antioxidantes - Alta Digestibilidad",Perfect Sense,4.6,726,1414.8,274,评论数推算(评论率2.5%),2017-08-06,106,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,True
57,B08WLPDWV6,"Barkys Biscuit premios para Perro con Omega 3 Y 6, 2.5 kg",Cowjag,4.8,943,285.0,589,评论数推算(评论率2.5%),2021-02-15,64,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
58,B075N8M4BQ,"Cesar - Sobres de Alimento para Perro, Sabor Filete Mignon en su Jugo, 24 Sobres, 75 gr. c/u",Cesar,4.7,780,236.0,297,评论数推算(评论率2.5%),2017-09-11,105,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
59,B09Y1RNQXL,"Pedigree - Sobres para Perro, Raza Pequeña, Sabor Pollo, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,620,227.9,496,评论数推算(评论率2.5%),2022-04-15,50,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1RNQXL,True
60,B01FVRFC7W,"Barkys Bacon Waves Tocinitos Botana para Perros, 567 gr",BARKYS,4.8,746,137.75,247,评论数推算(评论率2.5%),2016-05-19,121,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,True
61,B0DR889BNG,"Impermeable para Perros Chaqueta de Lluvia Ligera Ajustable Poncho Sudaderas con Tira Reflectante (Amarillo, 4XL (Chest: 33‘’, Body 27.5''))",AZULDIMEN,4.4,177,314.1,124,评论数推算(评论率2.5%),2021-09-03,57,12,Azuldimen,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DR889BNG,True
62,B0CDYWTMRM,Purina Dog Chow Adulto Todos los tamaños Sabor Carne y Pollo 18Kg,Dog Chow,4.7,531,749.0,625,评论数推算(评论率2.5%),2023-08-07,34,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYWTMRM,True
63,B0GWHHR2P1,"Collar de Perro Táctico, Collar para Perro de Nailon Militar Grueso con Asa, Collares de Perro Hebilla de Metal Resistente Ajustable para Entrenamiento de Perros, Cómodo (Rosa, L)",DAQI,4.7,895,188.0,716,评论数推算(评论率2.5%),2022-04-03,50,9,CHIYING,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0GWHHR2P1,True
64,B08B1W7YSB,MS COLLAR ISABELINO TALLA 1 (22 CM),Fancy Pets,4.4,3017,74.82,1676,评论数推算(评论率2.5%),2020-06-11,72,11,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B1W7YSB,True
65,B0BQTFBXHP,"Hill's Science Diet Adult 7+ Small Bites Croquetas para Perro Senior de Razas Pequeñas Sabor Pollo 6.8kg, Alimento para Perro Edad Avanzada que Apoya la Vitalidad Salud del Corazón Piel y Pelaje Sanos",Hill's Science Diet,4.7,467,1248.0,445,评论数推算(评论率2.5%),2022-12-22,42,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
66,B07L9JHXJR,"Taste Of The Wild - Alimento seco para perros Pacific Stream Premium, sin cereales, rico en proteínas",Taste Of The Wild,4.7,6574,1502.0,2955,评论数推算(评论率2.5%),2019-01-30,89,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
67,B0153V47YU,"Nupec croquetas para Perros, Cachorros Razas pequeñas, con Vitamina E y Selenio, presentación de 2 kg.",Nupec,4.8,3138,401.0,981,评论数推算(评论率2.5%),2015-10-06,128,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
68,B0723HRWJW,"Nature's Miracle - Eliminador de Manchas y Olores de Perros - 946 ml - Fórmula Avanzada - Limpia las Manchas más Difíciles - Neutraliza Olores - Apto para Muebles, Alfombras, Suelos Duros y Tejidos",Nature's Miracle,4.4,23085,299.0,8550,评论数推算(评论率2.5%),2017-06-29,108,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
69,B0B84V22ZJ,"RENDIN 255 Bolsas para Perro Biodegradables,Prueba de Fugas y Fragante Bolsitas para Perro,17 Rollos + 1 Dispensador+1 Clip",RENDIN,4.8,1726,199.0,2877,"评论数推算(评论率2.5%, 按默认24个月在售)",,,4,L-JL,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,True
70,B0155E0168,Fancy Pets Plato de Acero Inoxidable para Perro con 8 Onzas o 227 Gramos,Fancy Pets,4.7,6616,45.0,2117,评论数推算(评论率2.5%),2016-01-22,125,7,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
71,B0CPQYC8QZ,"Casa de plástico para Perros, casa Duradera para Perros pequeños, medianos y Grandes, con Suelo Elevado y Rejillas de ventilación, ventila, fácil de Limpiar y Montar Dog Kennel",POLI PETS,4.8,524,1099.0,699,评论数推算(评论率2.5%),2023-12-07,30,7,YO PIDO México,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CPQYC8QZ,True
72,B09Y1R1GWL,"Pedigree - Sobres para Perro, Raza Pequeña, Sabor Res en Filetes, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,876,227.9,701,评论数推算(评论率2.5%),2022-04-15,50,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1R1GWL,True
73,B0GQ68VD9R,Fancy Pets Kit Dental Progresivo para Perro con Pasta Dental Comestible 90 g y Dedales Incluye Cepillo Doble Cabezal Higiene Bucal Canina 4 Piezas,Fancy Pets,4.7,34,119.0,340,评论数推算(评论率2.5%),2026-02-25,4,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,True
74,B07MQP8RLK,Fancy Pets Medical Solutions Ungúento Hidratante y Reparador para Piel y Cojinetes de Perro y/o Gato,Fancy Pets,4.7,7761,88.13,3488,评论数推算(评论率2.5%),2019-01-11,89,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07MQP8RLK,True
75,B0D81FZFBS,Alimento humedo para Perro Ganador Premium Pollo & Salmon,Ganador,4.6,105,209.0,175,评论数推算(评论率2.5%),2024-06-25,24,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,True
76,B0929DKD6Z,Beneful Purina Adulto Energia Tropical Sabor Carne y Pavo 10Kg,Beneful,4.8,1499,614.0,967,评论数推算(评论率2.5%),2021-04-12,62,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0929DKD6Z,True
77,B088BH2WLC,"Feandrea Cama de Perros, Cama para Mascotas, Diámetro de 60 cm, Cojín Central Extraíble y Lavable, Alfombra de Felpa, Gris Ombré MPGW038G01",Feandrea,4.4,5854,349.99,3298,评论数推算(评论率2.5%),2020-07-22,71,9,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B088BH2WLC,True
78,B0CG33JYQC,"Pechera Arnés De Seguridad para Perro Chico Mediano Y Grande con Correa 1.5m (Fuscia, M)",UNA MASCOTA,4.6,1234,219.0,1452,评论数推算(评论率2.5%),2023-08-19,34,63,COMERSTAT,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
79,B0BPN22XQT,"Platina Plus - ELIMINADOR DE OLORES MASCOTAS - Ultra Concentrado - 100 Lavadas - Elimina Manchas - Para Exteriores, Interiores, Telas y Muebles (500ml)",PLATINA,4.4,823,290.0,1372,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,USA Detergente,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0BPN22XQT,True
80,B09WP12B7N,"Pedigree - Sobres para Perro, Sabor Cordero en Filetes, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,769,227.9,603,评论数推算(评论率2.5%),2022-03-28,51,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
81,B0DWFZRN8J,"Fancy Pets Tapete Refrescante para Perros XGDE Aqua Cool | Autoenfriante, Portátil y No Tóxico | Uso Interior y Exterior",Fancy Pets,4.3,928,405.0,2320,评论数推算(评论率2.5%),2025-02-07,16,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DWFZRN8J,True
