排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
17,B018M8AR90,Dry Pet Tapete Entrenador para Perro de 30 Piezas,Dry Pet,4.6,3742,159.81,1000,亚马逊官方(上月购买量),2016-05-06,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
18,B01FUDI7F6,"Nupec croquetas para Perros, Senior, presentación de 15 kg.",Nupec,4.8,5179,1597.9,1000,亚马逊官方(上月购买量),2016-05-18,121,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7F6,True
19,B0CF4BLG83,"Dogelthy Mobility. Suplemento Condroprotector para Perros con Glucosamina, Condroitina y Colageno Tipo 2 UCII en Polvo. Complemento para Croquetas o Dieta Barf 270g. (Pescado)",Dogelthy,4.6,2072,906.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,MX/45019/JALISCO/Zapopan/San Juan de Ocotan/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
20,B0153V7ZTO,Purina Dog Chow Adulto Raza Medina y Grande Sabor Carne y Pollo 7.5Kg,Dog Chow,4.8,4089,348.0,2000,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
21,B07PSK15Y2,Nupec Alimento Seco para Perro Raza Pequeña Senior - 1 x 8 kg,Nupec,4.8,4242,1128.6,1000,亚马逊官方(上月购买量),2019-03-18,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,True
22,B01FUDI7OC,"Nupec alimento para Perros, Weight Control, nutrición para Perros con sobrepeso u obesidad, presentación de 15 kg.",Nupec,4.8,3929,1770.8,1000,亚马逊官方(上月购买量),2016-05-18,121,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,True
23,B0153V3XHM,"Nupec croquetas para Perros, Cachorros, con Vitamina E y Selenio, presentación de 20 kg.",Nupec,4.8,9480,1856.3,300,亚马逊官方(上月购买量),2015-09-01,130,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3XHM,True
24,B09R93SSD5,Purina Beneful Adulto Todos los tamaños Salud Radiante Sabor Salmón 10Kg,Purina,4.8,4270,495.52,2000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
25,B0153V43UI,"Nupec croquetas para Perros, Adulto, con Omega 3 y 6, presentación de 5 kg.",Nupec,4.8,3998,507.3,600,亚马逊官方(上月购买量),2015-09-01,130,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
26,B09R916GQ3,WeTap Purina Beneful Adulto Original Sabor Carne 10Kg,WeTap,4.8,2624,476.0,2000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
27,B0118VV13O,"Hill's Natural Training Soft and Chewy Treats, Premios De Entrenamiento para Perros, 90 G",Hill's,4.7,3884,78.37,500,亚马逊官方(上月购买量),2016-06-24,120,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
28,B003CL6Q84,"Hill's Science Diet Adult Small & Mini, Croquetas para Perro Adulto de Razas Pequeñas Sabor Pollo 7kg, Alimento para Perro, Ayuda a Construir Las Bases para la Salud a Largo Plazo, Piel y Pelaje",Hill's Science Diet,4.8,25187,1152.0,1000,亚马逊官方(上月购买量),2013-07-08,156,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
29,B071HPBSHV,"Amazon Basics - Pañales para perro macho, paquete de 30, tamaño pequeño, envoltura desechable ultraabsorbente con ajuste seguro, a prueba de fugas y cómodo",Amazon Basics,4.5,32180,279.97,800,亚马逊官方(上月购买量),2017-10-23,104,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
30,B01FKNX3FU,"Ganador Adulto, Razas Pequeñas, 20 kg, Azul",Ganador,4.8,1513,650.0,1000,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
31,B01M8G9HYE,"Nupec PENU7138 - AAAAAA Premio para Perros Relax, 180 Gr (El empaque puede variar)",Nupec,4.6,5398,85.0,1000,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
32,B0CK32S653,"Waggys Bites | Premios para Perro Naturales | Suaves, Sin Granos, Altos en Proteína | Camote y Salmón | Ricos y Deliciosos | Snack Saludable para Mascotas | Ideal para Entrenamiento | 100 Soft Chews",Waggys,4.6,608,149.0,1000,亚马逊官方(上月购买量),2023-09-28,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,MX/44520/JALISCO/GUADALAJARA/LAZARO CARDENAS 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
33,B0BBSG79MX,"Pedigree - High Protein Alimento para Perro Adulto, Sabor Res y Pollo, 24 Sobres, 85g c/u, con Proteína, Antioxidantes y Vitamina E",Pedigree,4.8,1127,182.4,1000,亚马逊官方(上月购买量),2022-08-24,46,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
34,B0CG2VF5NV,"Cámara para interiores con movimiento Ring (Pan-Tilt Indoor Cam) | Ve todos los ángulos con vista panorámica de 360°, video HD y audio bidireccional (modelo más reciente) | Blanco",Ring,4.6,849,649.0,500,亚马逊官方(上月购买量),,,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CG2VF5NV,True
35,B07NSD6XW3,"Nupec Alimento Seco para Perro Raza Pequeña Senior, 2 kg, 1 Pack",Nupec,4.9,2254,374.0,1000,亚马逊官方(上月购买量),2019-03-18,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,True
36,B07PY5FGR1,"Cloralex Mascotas, Elimina Malos Olores 3.75 L",Cloralex,4.8,2457,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
37,B0D81FZFBS,Alimento humedo para Perro Ganador Premium Pollo & Salmon,Ganador,4.6,106,187.6,600,亚马逊官方(上月购买量),2024-06-25,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,True
38,B08NWZD6MS,"Spring Blossoms - Rastrillo de aseo profesional 2 en 1 para gatos y perros, peine para quitar fácilmente las alfombrillas y los enredos, seguro para cepillo para mascotas (Naranja)",Spring Blossoms,4.7,4194,262.23,500,亚马逊官方(上月购买量),2021-01-06,66,6,GoodHappens,第三方(中国),中国,CN/361000/福建/厦门市/205-11室之三/火炬高新区软件园二期观日路8号,FBA,https://www.amazon.com.mx/dp/B08NWZD6MS,True
39,B0B43X13C2,"Cama para Perro, Resistente, Confortable, con Relleno Suave, Medidas y Color a Elegir (Medium, Negra/Gris)",PETS APPAREL HILLS,4.6,10345,399.0,100,亚马逊官方(上月购买量),2022-06-14,48,50,I Jacket,第三方(墨西哥),墨西哥,MX/06090/Ciudad de Mexico/Cuauhtemoc/Nezahualcoyotl/158 Depto 202,FBA,https://www.amazon.com.mx/dp/B0B43X13C2,True
40,B09Y1R1GWL,"Pedigree - Sobres para Perro, Raza Pequeña, Sabor Res en Filetes, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,886,182.4,1000,亚马逊官方(上月购买量),2022-04-15,50,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1R1GWL,True
41,B08QGK9PBK,"Nupec Alimento Húmedo, Senior, Blanco con Café",Nupec,4.8,1007,98.0,600,亚马逊官方(上月购买量),2020-12-13,67,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08QGK9PBK,True
42,B07GV57JYJ,"PetLovers Set de 450 Hojas Quita Pelusa para Ropa - Rodillo Quita Pelusa Extra Pegajoso, Rodillo Quita Pelos de Mascotas - Pack De 5",PetLovers,4.7,36475,332.0,200,亚马逊官方(上月购买量),,,6,PetLovers MX,品牌方,,,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,True
43,B0088LIINY,"Earth Rated - Bolsas para excremento de perros, 120 bolsas en 8 rollos con olor a lavanda",Earth Rated,4.9,199299,140.25,1000,亚马逊官方(上月购买量),,,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,True
44,B07FXZSFH3,"Nupec Treat Funcional para Perro Training, 0.180 kg, 1 Pack",Nupec,4.8,1307,85.0,800,亚马逊官方(上月购买量),2018-07-26,95,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07FXZSFH3,True
45,B00EJXIZ60,"Earth Rated - Bolsas para excremento de perros, 120 bolsas en 8 rollos sin olor",Earth Rated,4.9,16644,89.5,600,亚马逊官方(上月购买量),2014-02-23,148,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00EJXIZ60,True
46,B0DF4TZZ82,"Dogelthy Patas de Pollo Deshidratadas 100% Naturales. Premio para Perros sin Conservadores ni Saborizantes Artificiales. Snacks para Perro. Treats para Cachorros, Adultos y Senior Bolsa con 10 Piezas.",Dogelthy,4.5,280,203.0,300,亚马逊官方(上月购买量),2024-08-23,22,4,Dogelthy,品牌方(墨西哥),墨西哥,MX/45019/JALISCO/Zapopan/San Juan de Ocotan/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
47,B07TGKCWWP,Dry Pet PAÑALES CH P/PERRO - 12 PZ,Fancy Pets,4.5,1452,118.08,400,亚马逊官方(上月购买量),2019-06-25,84,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
48,B09232RF2N,PERFECT SENSE SENIOR 3 KG,Perfect Sense,4.7,707,389.0,300,亚马逊官方(上月购买量),2019-09-17,81,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,True
49,B01M7NN6KX,"Nupec PENU7135 - AAAAAA Premio para Perros Dental Care, 180 Gr (El empaque puede variar)",Nupec,4.8,2955,85.0,900,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M7NN6KX,True
50,B0GTX1919S,Playera para Perro con diseño Oficial FIFA – México – Talla L,FIFA,3.4,27,,750,评论数推算(评论率1.2%),2026-03-25,3,6,,,,,,https://www.amazon.com.mx/dp/B0GTX1919S,True
51,B0153V47YU,"Nupec croquetas para Perros, Cachorros Razas pequeñas, con Vitamina E y Selenio, presentación de 2 kg.",Nupec,4.8,3151,314.0,900,亚马逊官方(上月购买量),2015-10-06,129,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
52,B0CDYWTMRM,Purina Dog Chow Adulto Todos los tamaños Sabor Carne y Pollo 18Kg,Dog Chow,4.7,536,489.0,1000,亚马逊官方(上月购买量),2023-08-07,35,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYWTMRM,True
53,B09Y1RNQXL,"Pedigree - Sobres para Perro, Raza Pequeña, Sabor Pollo, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,622,182.4,900,亚马逊官方(上月购买量),2022-04-15,50,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1RNQXL,True
54,B016C6EOO8,"Amazon Basics Paños absorbentes para perros y cachorros, diseño de 5 capas sin filtraciones y secado rápido, para entrenamiento, 71 x 86 cm (extra grande), paquete de 60, azul y blanco",Amazon Basics,4.5,216882,624.09,200,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B016C6EOO8,True
55,B01FKNX4R2,Ganador Cachorro Todas las Razas Alimento Seco - 1 x 20 kg,Ganador,4.7,1144,641.0,600,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,True
56,B07X148WCW,Purina One Adulto Raza Mediana y Grande Sabor Pollo y Carne 7Kg,WeTap,4.6,729,410.41,500,亚马逊官方(上月购买量),2019-08-29,82,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07X148WCW,True
57,B07MQP8RLK,Fancy Pets Medical Solutions Ungúento Hidratante y Reparador para Piel y Cojinetes de Perro y/o Gato,Fancy Pets,4.7,7775,71.1,800,亚马逊官方(上月购买量),2019-01-11,90,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07MQP8RLK,True
58,B075N8M4BQ,"Cesar - Sobres de Alimento para Perro, Sabor Filete Mignon en su Jugo, 24 Sobres, 75 gr. c/u",Cesar,4.7,784,236.0,300,亚马逊官方(上月购买量),2017-09-11,106,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
59,B0GQ68VD9R,Fancy Pets Kit Dental Progresivo para Perro con Pasta Dental Comestible 90 g (3.17 oz) y Dedales Incluye Cepillo Doble Cabezal Higiene Bucal Canina 4 Piezas,Fancy Pets,4.7,40,89.24,900,亚马逊官方(上月购买量),2026-02-25,4,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,True
60,B0CN7CRSLH,"Raganet, Cubierta para Mascotas, Funda Cubre Asientos de Autos, Sillones. Ideal para Perros y Gatos, para Asiento Trasero, Cajuela o Sofa, Medidas: 137 * 147 * 40cm Impermeable (Negra Completa)",Raganet,4.3,1635,229.0,400,亚马逊官方(上月购买量),,,2,Raga Basics,第三方(墨西哥),墨西哥,MX/52790/MEXICO/HUIXQUILUCAN DE DEGOLLADO/Dos Rios/Avenida Vicente Guerrero,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
61,B076VSDJY1,"Amazon Basics - Bolsas para excremento de perro con dispensador, paquete de 270, mejoradas para garantizar que no haya fugas, aroma a lavanda, incluye clip para correa",Amazon Basics,4.9,65593,189.9,300,亚马逊官方(上月购买量),2025-01-11,18,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VSDJY1,True
62,B0D94WF49T,Shampoo Claudio's para Perros Piel Sensible. 500 ml,Claudio's,4.6,531,47.04,700,亚马逊官方(上月购买量),2024-07-09,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D94WF49T,True
63,B09WP12B7N,"Pedigree - Sobres para Perro, Sabor Cordero en Filetes, con Ingredientes Naturales, Proteínas y Fibra, 24 Sobres, 100g c/u",Pedigree,4.8,778,182.4,1000,亚马逊官方(上月购买量),2022-03-28,51,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
64,B0BQTFBXHP,"Hill's Science Diet Adult 7+ Small Bites Croquetas para Perro Senior de Razas Pequeñas Sabor Pollo 6.8kg, Alimento para Perro Edad Avanzada que Apoya la Vitalidad Salud del Corazón Piel y Pelaje Sanos",Hill's Science Diet,4.7,470,1152.0,900,亚马逊官方(上月购买量),2022-12-22,42,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
65,B09Z6QHGTG,"Cortauñas para perros y gatos con luz LED:ilumina uñas o línea de sangre para un corte seguro. Hojas extra afiladas para uñas gruesas, sensor rápido evita cortes excesivos. Ideal para perros y gatos.",Elvess,4.7,1657,195.65,800,亚马逊官方(上月购买量),2022-04-29,50,1,elvess,品牌方,,,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,True
66,B01FVRFC7W,"Barkys Bacon Waves Tocinitos Botana para Perros, 567 gr",BARKYS,4.8,753,128.0,700,亚马逊官方(上月购买量),2016-05-19,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,True
67,B0723HRWJW,"Nature's Miracle - Eliminador de Manchas y Olores de Perros - 946 ml - Fórmula Avanzada - Limpia las Manchas más Difíciles - Neutraliza Olores - Apto para Muebles, Alfombras, Suelos Duros y Tejidos",Nature's Miracle,4.4,23140,239.2,700,亚马逊官方(上月购买量),2017-06-29,108,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
68,B09WXGR63N,"Collar de Perro Táctico, Collar para Perro de Nailon Militar Grueso con Asa, Collares de Perro Hebilla de Metal Resistente Ajustable para Entrenamiento de Perros, Cómodo (Caqui, L)",DAQI,4.7,904,165.44,200,亚马逊官方(上月购买量),2022-04-03,51,8,CHIYING,第三方(中国),中国,CN/06000/广东省/龙岗区/深圳市/坂田街道万科城社区新天下百瑞达大厦四层401室,FBA,https://www.amazon.com.mx/dp/B09WXGR63N,True
69,B07GC89BJV,"Hill's Science Diet Adult 7+, Croquetas para Perro Senior Sabor Pollo y Arroz 12kg, Alimento para Perro de Edad Avanzada Que Ayuda a Construir Las Bases para la Salud a Largo Plazo y Órganos Sanos.",Hill's Science Diet,4.7,360,1512.73,600,亚马逊官方(上月购买量),2022-11-24,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,True
70,B0153V48QC,"Nupec croquetas para Perros, Cachorros Razas pequeñas, con Vitamina E y Selenio, presentación de 8 kg.",Nupec,4.8,4682,1007.95,500,亚马逊官方(上月购买量),2015-11-13,128,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V48QC,True
71,B01N30FZTO,"Dog Chow Purina Cachorro Raza Mediana y Grande Sabor Carne, Pollo y Frutas 7.5Kg",Dog Chow,4.8,2229,258.0,800,亚马逊官方(上月购买量),2019-05-25,85,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
72,B0D7XPXCSL,"Tapo - Cámara de Seguridad Interior TP-Link 2K con función panorámica/inclinación para Monitor de bebé, Mascotas, detección de Movimiento, Audio bidireccional, Almacenamiento, Negra, C211, 2 Piezas",Tapo,4.7,3007,773.1,500,亚马逊官方(上月购买量),,,2,Amazon Estados Unidos,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D7XPXCSL,True
73,B0DQW1YXG5,"Feandrea Cama para Perros Medianos, 76 x 51 x 18 cm, Funda Extraíble y Lavable, Forro Repelente al Agua, Bordes Elevados, Gris Claro MPGW281G01",Feandrea,4.7,410,505.36,200,亚马逊官方(上月购买量),2025-04-21,14,4,Amazon Estados Unidos,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DQW1YXG5,True
74,B003CLAJ1E,"Hill's Science Diet Small & Mini Adult 7+, Croquetas para Perro Senior Razas Pequeña Y Mini, Sabor Pollo Y Arroz Integral 2Kg",Hill's Science Diet,4.8,3255,502.31,600,亚马逊官方(上月购买量),2017-12-05,103,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,True
75,B07L9JHXJR,"Taste Of The Wild - Alimento seco para perros Pacific Stream Premium, sin cereales, rico en proteínas",Taste Of The Wild,4.7,6587,1599.0,800,亚马逊官方(上月购买量),2019-01-30,89,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
76,B0BQX4HLCS,"Raganet, Corral Portátil para Mascotas Pequeñas y Medianas, Casa de Mascotas de 58Cm de Altura x 78 Cm de Largo, Impermeable de Tela Oxford, Interiores y Exteriores, Seguro y Resistente (Color Gris)",Raganet,4.6,1038,219.0,800,亚马逊官方(上月购买量),2022-12-23,42,2,Raga Basics,第三方(墨西哥),墨西哥,MX/52790/MEXICO/HUIXQUILUCAN DE DEGOLLADO/Dos Rios/Avenida Vicente Guerrero,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
77,B074M2D1LJ,"Perfect Sense Alimento Premium para Perro Adulto Raza Mediana y Grande MLB 15 kg - 100% Natural con Omega 3, Prebióticos y Antioxidantes - Alta Digestibilidad",Perfect Sense,4.6,729,1414.8,500,亚马逊官方(上月购买量),2017-08-06,107,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,True
78,B01EY98NDS,"Nupec alimento para Perros, Sensitive, Control de alergias, presentación de 15 kg.",Nupec,4.8,2253,1864.0,900,亚马逊官方(上月购买量),2016-05-18,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01EY98NDS,True
79,B0155E0168,Fancy Pets Plato de Acero Inoxidable para Perro con 8 Onzas o 227 Gramos,Fancy Pets,4.7,6622,40.5,400,亚马逊官方(上月购买量),2016-01-22,125,7,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
80,B0D1DF8TSG,Alimento seco Perro Full Life Salmon 10kg,Full Life,4.6,200,651.0,300,亚马逊官方(上月购买量),2024-04-10,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D1DF8TSG,True
