排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
52,B0CDYWTMRM,Purina Dog Chow成犬全犬种牛肉鸡肉味18公斤,Dog Chow,4.7,536,489.0,1000,亚马逊官方(上月购买量),2023-08-07,35,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYWTMRM,True
53,B09Y1RNQXL,宝路 - 小型犬湿粮包，鸡肉味，天然成分，含蛋白质和纤维，24包，每包100克,Pedigree,4.8,622,182.4,900,亚马逊官方(上月购买量),2022-04-15,50,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1RNQXL,True
54,B016C6EOO8,Amazon Basics 狗狗和幼犬吸水垫，五层防漏快干设计，训练用，71x86厘米（超大号），60片装，蓝白色,Amazon Basics,4.5,216882,624.09,200,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B016C6EOO8,True
55,B01FKNX4R2,Ganador 幼犬全犬种干粮 - 1 x 20千克,Ganador,4.7,1144,641.0,600,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX4R2,True
56,B07X148WCW,普瑞纳One中大型成年犬粮鸡肉牛肉味7公斤,WeTap,4.6,729,410.41,500,亚马逊官方(上月购买量),2019-08-29,82,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07X148WCW,True
57,B07MQP8RLK,Fancy Pets医疗解决方案 狗猫皮肤及爪垫保湿修复软膏,Fancy Pets,4.7,7775,71.1,800,亚马逊官方(上月购买量),2019-01-11,90,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07MQP8RLK,True
58,B075N8M4BQ,Cesar 狗粮包，菲力牛排原汁口味，24包，每包75克,Cesar,4.7,784,236.0,300,亚马逊官方(上月购买量),2017-09-11,106,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
59,B0GQ68VD9R,Fancy Pets 犬用渐进式牙齿护理套装 4件套（含可食用牙膏90克、指套及双头牙刷）,Fancy Pets,4.7,40,89.24,900,亚马逊官方(上月购买量),2026-02-25,4,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GQ68VD9R,True
60,B0CN7CRSLH,Raganet 宠物座套，汽车座椅、沙发保护套，适用于狗狗和猫咪，后座、后备箱或沙发，尺寸：137×147×40厘米，防水（黑色完整版）,Raganet,4.3,1635,229.0,400,亚马逊官方(上月购买量),,,2,Raga Basics,第三方,,,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
61,B076VSDJY1,亚马逊倍思 狗便袋（含分配器）270只装 防漏设计 薰衣草香 附带牵引绳夹,Amazon Basics,4.9,65593,189.9,300,亚马逊官方(上月购买量),2025-01-11,18,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VSDJY1,True
62,B0D94WF49T,Claudio's 敏感肌肤犬用洗发水 500毫升,Claudio's,4.6,531,47.04,700,亚马逊官方(上月购买量),2024-07-09,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D94WF49T,True
63,B09WP12B7N,Pedigree 狗湿粮包，羊肉片口味，含天然成分、蛋白质和纤维，24包，每包100g,Pedigree,4.8,778,182.4,1000,亚马逊官方(上月购买量),2022-03-28,51,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
64,B0BQTFBXHP,希尔斯科学膳食成年7岁以上小型犬老年犬粮小颗粒鸡肉味6.8kg，支持活力、心脏健康及皮肤毛发健康,Hill's Science Diet,4.7,470,1152.0,900,亚马逊官方(上月购买量),2022-12-22,42,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
65,B09Z6QHGTG,带LED灯的猫狗指甲剪：照亮指甲或血线，确保安全修剪。超锋利刀片适合厚指甲，快速感应防止过度修剪。适用于猫狗。,Elvess,4.7,1657,195.65,800,亚马逊官方(上月购买量),2022-04-29,50,1,elvess,品牌方,,,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,True
66,B01FVRFC7W,Barkys培根波浪狗狗零食，567克,BARKYS,4.8,753,128.0,700,亚马逊官方(上月购买量),2016-05-19,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,True
67,B0723HRWJW,Nature's Miracle 狗狗污渍气味去除剂 946毫升 先进配方 清洁顽固污渍 中和异味 适用于家具、地毯、硬地板和织物,Nature's Miracle,4.4,23140,239.2,700,亚马逊官方(上月购买量),2017-06-29,108,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
68,B09WXGR63N,战术狗项圈，厚军用尼龙带手柄，可调节金属扣，训练舒适（卡其色，大号）,DAQI,4.7,904,165.44,200,亚马逊官方(上月购买量),2022-04-03,51,8,CHIYING,第三方(中国),中国,中国/06000/广东省/龙岗区/深圳市/坂田街道万科城社区新天下百瑞达大厦四层401室,FBA,https://www.amazon.com.mx/dp/B09WXGR63N,True
69,B07GC89BJV,希尔思科学饮食成年7岁以上老年犬鸡肉米饭味狗粮12kg，帮助高龄犬建立长期健康基础并维持器官健康。,Hill's Science Diet,4.7,360,1512.73,600,亚马逊官方(上月购买量),2022-11-24,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,True
70,B0153V48QC,Nupec狗粮，小型犬幼犬专用，含维生素E和硒，8公斤装,Nupec,4.8,4682,1007.95,500,亚马逊官方(上月购买量),2015-11-13,128,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V48QC,True
71,B01N30FZTO,Purina Dog Chow中型大型幼犬粮 牛肉鸡肉水果味 7.5kg,Dog Chow,4.8,2229,258.0,800,亚马逊官方(上月购买量),2019-05-25,85,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
72,B0D7XPXCSL,Tapo TP-Link 2K室内安全摄像头 全景/倾斜 婴儿宠物监控 运动检测 双向音频 存储 黑色 C211 两件装,Tapo,4.7,3007,773.1,500,亚马逊官方(上月购买量),,,2,Amazon Estados Unidos,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D7XPXCSL,True
73,B0DQW1YXG5,Feandrea 中型犬床，76x51x18厘米，可拆卸可清洗外套，防水衬里，加高边缘，浅灰色 MPGW281G01,Feandrea,4.7,410,505.36,200,亚马逊官方(上月购买量),2025-04-21,14,4,Amazon Estados Unidos,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DQW1YXG5,True
74,B003CLAJ1E,希尔思小型迷你老年犬粮7岁以上，鸡肉糙米味，2公斤,Hill's Science Diet,4.8,3255,502.31,600,亚马逊官方(上月购买量),2017-12-05,103,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,True
75,B07L9JHXJR,Taste Of The Wild - 太平洋溪流优质无谷高蛋白狗粮,Taste Of The Wild,4.7,6587,1599.0,800,亚马逊官方(上月购买量),2019-01-30,89,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
76,B0BQX4HLCS,Raganet 便携式中小型宠物围栏，58厘米高×78厘米长宠物屋，牛津布防水，室内外通用，安全耐用（灰色）,Raganet,4.6,1038,219.0,800,亚马逊官方(上月购买量),2022-12-23,42,2,Raga Basics,第三方,,,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
77,B074M2D1LJ,Perfect Sense 中大型犬成犬优质狗粮 15kg - 100%天然，含Omega 3、益生元和抗氧化剂 - 高消化率,Perfect Sense,4.6,729,1414.8,500,亚马逊官方(上月购买量),2017-08-06,107,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B074M2D1LJ,True
78,B01EY98NDS,Nupec 狗粮，敏感型，抗过敏配方，15公斤装,Nupec,4.8,2253,1864.0,900,亚马逊官方(上月购买量),2016-05-18,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01EY98NDS,True
79,B0155E0168,Fancy Pets 不锈钢狗碗 8盎司/227克,Fancy Pets,4.7,6622,40.5,400,亚马逊官方(上月购买量),2016-01-22,125,7,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
80,B0D1DF8TSG,Full Life三文鱼味全犬干粮10kg,Full Life,4.6,200,651.0,300,亚马逊官方(上月购买量),2024-04-10,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D1DF8TSG,True
81,B0CF64R8Y1,Dogelthy胃肠辅助剂。益生元+益生菌，每勺超过30亿CFU。犬用补充剂。270克狗粮或生骨肉饮食伴侣（鱼肉口味）,Dogelthy,4.6,1158,619.0,300,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科州/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,True
82,B002Q7SZ2A,Gamma2 Vittles Vault 宠物食品储存桶 16kg 摩卡花岗岩色,Gamma2,4.7,72695,707.87,400,亚马逊官方(上月购买量),2012-09-05,166,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B002Q7SZ2A,True
83,B0CSTG692R,Fancy Pets 大型 Aqua Cool 狗狗降温垫 | 自冷、便携、无毒 | 室内外通用,Fancy Pets,4.3,939,295.2,300,亚马逊官方(上月购买量),2024-01-19,29,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CSTG692R,True
84,B01BKECCNM,希尔斯科学膳食成人健康美食 湿粮 成年犬罐装 烤鸡味 12罐装（每罐354克）支持健康皮肤与免疫系统,Hill's Science Diet,4.6,1008,983.25,200,亚马逊官方(上月购买量),2016-03-07,124,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01BKECCNM,True
85,B0DW5GCZPX,HI MULTI PRO 优质成年小型犬粮,HI MULTI PRO,4.7,233,560.0,500,亚马逊官方(上月购买量),2025-02-05,17,1,ALBAPESA,第三方,,,FBA,https://www.amazon.com.mx/dp/B0DW5GCZPX,True
86,B01MDKAB0R,Nupec PENU7137 - AAAAAA 狗狗关节护理奖励零食，180克（包装可能不同）,Nupec,4.8,746,85.0,600,亚马逊官方(上月购买量),2016-10-10,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MDKAB0R,True
87,B071937LW8,Regalo Easy Fit 可调节婴儿安全门，宽26-42英寸,Regalo,4.5,15729,559.55,600,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,True
88,B0CG33JYQC,小中大型犬安全胸背带（含1.5米牵引绳），品红色，M码,UNA MASCOTA,4.6,1253,192.72,3071,评论数推算(评论率1.2%),2023-08-19,34,64,COMERSTAT,第三方,,,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
89,B09NF9NPZ6,Canine Chews 100%牛肉牛皮棒 100支混合装,Canine Chews,4.6,250,148.0,300,亚马逊官方(上月购买量),2023-09-28,33,6,Tienda Oficial de Canine Chews,品牌方(墨西哥),墨西哥,墨西哥/20905/阿瓜斯卡连特斯/赫苏斯玛丽亚/1/查塞拉 100,FBA,https://www.amazon.com.mx/dp/B09NF9NPZ6,True
90,B07G8WH4G7,BARKYS迷你小香肠，3包装，每包100克,BARKYS,4.8,704,71.0,200,亚马逊官方(上月购买量),2018-08-08,95,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07G8WH4G7,True
